lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,28,6,3,pp,0.1,1.8335760513941448,24,-0.4598258604322161,0.13428571428571429,-7.509340652738299,-7.049514792306082,-1.4287257293292455,0.06571428571428571,-7.224852352142334,-5.796126622813088,-1.0410736884389604,0.05285714285714286,-5.638438376017979,-4.597364687579018
raw,28,6,3,do,0.1,0.016086921691893963,5,-0.4585236276899065,0.1357142857142857,-7.503360755784171,-7.044837128094264,-0.5260020869118827,0.2814285714285714,-10.389951076507568,-9.863948989595686,-0.48800460849489485,0.18428571428571427,-5.74893402678626,-5.260929418291364
raw,29,6,4,do,0.05,0.34257147153218526,14,-0.45968520981924876,0.13428571428571429,-7.510888817650931,-7.051203607831683,-0.44550923415592736,0.2714285714285714,-6.962307774339403,-6.516798540183476,-0.10370477403913225,0.4328571428571429,-5.587672542503902,-5.48396776846477
raw,29,6,4,pp,0.1,1.991509264310201,32,-0.4591346195765904,0.13428571428571429,-7.507801238468715,-7.048666618892125,-1.25222882270813,0.015714285714285715,-6.5974372836521695,-5.34520846094404,-0.9761190860612052,0.032857142857142856,-5.626075510638101,-4.649956424576896
raw,30,6,5,do,0.05,-0.008966496785482114,11,-0.4592030763626099,0.1357142857142857,-7.506609805652073,-7.047406729289464,-0.5482532273020063,0.13,-7.403631384713309,-6.855378157411303,-0.17065226895468574,0.36714285714285716,-5.891167525223323,-5.720515256268637
raw,30,6,5,pp,0.1,2.8826021035512293,60,-0.45909307071140837,0.1357142857142857,-7.508106181962149,-7.0490131112507415,-1.092754853112357,0.014285714285714285,-6.545364861147744,-5.452610008035387,-1.0755384261267527,0.008571428571428572,-6.28836578982217,-5.212827363695417
raw,31,7,1,do,0.1,1.5212672408421835,34,-0.45835794857570106,0.13714285714285715,-7.503550282205854,-7.045192333630153,-1.0244742243630545,0.23142857142857143,-8.723365410055433,-7.6988911856923785,-0.7921463697297233,0.24142857142857144,-6.695369266782488,-5.903222897052765
raw,31,7,1,pp,0.05,0.26994722525278725,29,-0.45889035497392927,0.1357142857142857,-7.505664759363447,-7.0467744043895175,-0.5949544489383698,0.2357142857142857,-5.493029220444815,-4.898074771506446,-0.6082747621195657,0.22142857142857142,-5.39142760004316,-4.783152837923595
raw,32,7,2,pp,0.1,2.947130378087361,70,-0.4593133687973022,0.1357142857142857,-7.506863424437387,-7.047550055640085,-0.761319626399449,0.15,-5.089531251362392,-4.328211624962943,-0.761319626399449,0.15,-5.089531251362392,-4.328211624962943
raw,32,7,2,do,0.1,3.3401318057378138,42,-0.45932555743626186,0.1357142857142857,-7.507948536872863,-7.048622979436602,-0.4601158819879804,0.18428571428571427,-5.618600427763803,-5.158484545775822,-0.4704285614831107,0.20714285714285716,-5.277919076851436,-4.807490515368325
raw,33,7,3,do,0.1,3.0896807034810383,38,-0.45977883407047815,0.1357142857142857,-7.507772364616394,-7.047993530545916,-0.5352786135673523,0.1457142857142857,-6.1314620651517595,-5.596183451584407,-0.4543815554891314,0.1657142857142857,-5.624820994649615,-5.170439439160483
raw,33,7,3,pp,0.1,1.5374028460184732,70,-0.4596835892541068,0.1357142857142857,-7.5092870160511564,-7.0496034267970495,-0.918127532686506,0.1757142857142857,-6.675591586657933,-5.757464053971427,-0.918127532686506,0.1757142857142857,-6.675591586657933,-5.757464053971427
raw,34,7,4,pp,0.1,2.2173932456970213,65,-0.4598085287639073,0.1357142857142857,-7.509861230169024,-7.050052701405116,-1.2334459037440164,0.1457142857142857,-7.173679125990186,-5.94023322224617,-1.245993219103132,0.14857142857142858,-7.15063239642552,-5.904639177322387
raw,34,7,4,do,0.1,3.705212914148966,46,-0.4600719724382673,0.1357142857142857,-7.5073649072647095,-7.047292934826443,-0.7534521842002868,0.18428571428571427,-6.355726178033011,-5.602273993832725,-0.6008664560317993,0.20142857142857143,-5.867707820960454,-5.266841364928654
raw,35,7,5,do,0.1,2.956874376932779,70,-0.45945945399148125,0.1357142857142857,-7.505726061548505,-7.046266607557024,-0.6533296591894967,0.09571428571428571,-6.7343201112747195,-6.0809904520852225,-0.6533296591894967,0.09571428571428571,-6.7343201112747195,-6.0809904520852225
raw,35,7,5,pp,0.1,2.432851257324219,56,-0.4599076189313616,0.13428571428571429,-7.511964297294616,-7.052056678363255,-0.7928787039007459,0.12857142857142856,-5.728883733068193,-4.936005029167448,-0.7631307070595877,0.12285714285714286,-5.3579478406906125,-4.594817133631025
raw,36,8,1,pp,0.1,1.6252415418624881,70,-0.45959597723824636,0.1357142857142857,-7.503341841697693,-7.043745864459447,-1.0019838963236127,0.08285714285714285,-7.274177587372916,-6.272193691049304,-1.0019838963236127,0.08285714285714285,-7.274177587372916,-6.272193691049304
raw,36,8,1,do,0.1,2.6019150797526045,70,-0.45991717406681604,0.1357142857142857,-7.508705053329468,-7.048787879262652,0.539634063584464,0.7557142857142857,-9.093690106528147,-9.63332417011261,0.539634063584464,0.7557142857142857,-9.093690106528147,-9.63332417011261
